credit_duration(month),credit_amount,duration_of_current_employment,installment_percent,guarantors,duration_in_current_address,age,concurrent_credits,no_of_credits_at_the_bank,no_of_dependents,telephone,account_type,payment_status_of_previous_loan,loan_purpose,savings_type,marital_status,most_valuable_asset,type_of_apartment,occupation,foreign_worker,label
36,2273,4,3,1,1,32,3,2,2,1,current,opted to pay,home repairs,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
21,2923,3,1,1,1,28,1,1,1,2,entrepreneur,opted to pay,purchase a vehicle,individual retirement accounts,divorced,real property,one-bedroom apartment,professional and managerial,no,0
24,1901,3,4,1,4,29,3,1,1,2,corporate,opted to pay,investments for future,individual retirement accounts,married,real property,two or multi-bedroom apartment,professional and managerial,no,0
36,3711,3,2,1,2,27,3,1,1,1,current,opted to pay,home repairs,savings account,single,real property,one-bedroom apartment,service and sales,no,0
48,8487,4,1,1,2,24,3,1,1,1,current,opted to pay,purchase a vehicle,savings account,divorced,real property,one-bedroom apartment,service and sales,no,0
24,2255,2,4,1,1,54,3,1,1,1,corporate,opted to pay,purchase a vehicle,savings account,married,intellectual property,one-bedroom apartment,service and sales,no,0
12,1262,3,3,1,2,25,3,1,1,1,corporate,opted to pay,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
33,7253,4,3,1,2,35,3,2,1,2,corporate,paid,weddings,high-yield savings accounts,married,real property,one-bedroom apartment,professional and managerial,no,0
6,6761,4,1,1,3,45,3,2,2,2,corporate,paid,purchase a vehicle,high-yield savings accounts,married,financial assets,one-bedroom apartment,professional and managerial,no,0
18,1817,3,4,1,2,28,3,2,1,1,corporate,paid,travel and vacations,high-yield savings accounts,divorced,financial assets,one-bedroom apartment,service and sales,no,0
12,2141,4,3,1,1,35,3,1,1,1,corporate,opted to pay,investments for future,individual retirement accounts,married,financial assets,one-bedroom apartment,service and sales,no,0
48,3609,3,1,1,1,27,2,1,1,1,corporate,active,student loan,high-yield savings accounts,divorced,human capital,one-bedroom apartment,service and sales,no,0
30,2333,5,4,1,2,30,1,1,1,1,corporate,opted to pay,investments for future,money market accounts,married,real property,one-bedroom apartment,professional and managerial,no,0
28,7824,2,3,3,4,40,1,2,2,2,corporate,active,weddings,savings account,married,human capital,two or multi-bedroom apartment,service and sales,no,0
18,1445,4,4,1,4,49,1,1,1,1,entrepreneur,active,investments for future,savings account,married,real property,one-bedroom apartment,skilled trades and technical,no,0
24,7721,2,1,1,2,30,3,1,1,2,savings,opted to pay,travel and vacations,savings account,divorced,intellectual property,one-bedroom apartment,service and sales,yes,0
21,3763,4,2,2,2,24,3,1,1,1,savings,opted to pay,purchase a vehicle,savings account,married,human capital,one-bedroom apartment,skilled trades and technical,yes,0
18,4439,5,1,2,1,33,1,1,1,2,current,opted to pay,student loan,high-yield savings accounts,married,human capital,one-bedroom apartment,professional and managerial,no,0
12,1107,3,2,1,2,20,3,1,2,2,savings,opted to pay,investments for future,high-yield savings accounts,married,human capital,two or multi-bedroom apartment,professional and managerial,no,0
15,1444,2,4,1,1,23,3,1,1,1,current,opted to pay,investments for future,savings account,married,intellectual property,one-bedroom apartment,service and sales,no,0
48,12169,1,4,2,4,36,3,1,1,2,current,active,purchase a vehicle,savings account,married,financial assets,studio apartment,professional and managerial,no,0
9,2753,5,3,2,4,35,3,1,1,2,corporate,opted to pay,investments for future,individual retirement accounts,married,real property,one-bedroom apartment,service and sales,no,0
4,1494,2,1,1,2,29,3,1,2,1,entrepreneur,opted to pay,purchase a vehicle,savings account,married,human capital,one-bedroom apartment,skilled trades and technical,yes,0
24,2828,3,4,1,4,22,2,1,1,2,savings,active,travel and vacations,money market accounts,married,human capital,one-bedroom apartment,service and sales,no,0
24,2483,3,4,1,4,22,2,1,1,2,savings,active,travel and vacations,money market accounts,married,human capital,one-bedroom apartment,service and sales,no,0
6,1299,3,1,1,1,74,3,3,2,1,entrepreneur,paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,manufacturing and production,yes,0
9,1549,2,4,1,2,35,3,1,1,1,current,opted to pay,purchase a vehicle,savings account,married,human capital,one-bedroom apartment,manufacturing and production,no,0
10,3949,2,1,3,1,37,3,1,2,1,entrepreneur,opted to pay,purchase a vehicle,high-yield savings accounts,married,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
10,2901,2,1,1,4,31,3,1,1,1,corporate,opted to pay,weddings,savings account,divorced,human capital,two or multi-bedroom apartment,service and sales,no,0
6,709,2,2,1,2,27,3,1,1,1,entrepreneur,opted to pay,purchase a vehicle,certificate of deposit,single,human capital,one-bedroom apartment,manufacturing and production,yes,0
47,10722,2,1,1,1,35,3,1,1,2,savings,opted to pay,purchase a vehicle,high-yield savings accounts,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
10,1287,5,4,2,2,45,3,1,1,1,corporate,opted to pay,purchase a vehicle,savings account,married,intellectual property,one-bedroom apartment,skilled trades and technical,yes,0
18,1940,2,3,2,4,36,1,1,1,2,savings,active,investments for future,high-yield savings accounts,married,financial assets,studio apartment,professional and managerial,no,0
30,3656,5,4,1,4,49,2,2,1,1,entrepreneur,paid,investments for future,savings account,married,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
24,4679,4,3,1,3,35,3,2,1,2,corporate,partly paid,weddings,high-yield savings accounts,married,real property,one-bedroom apartment,skilled trades and technical,no,0
27,8613,3,2,1,2,27,3,2,1,1,corporate,partly paid,weddings,certificate of deposit,married,real property,one-bedroom apartment,service and sales,no,0
18,2659,3,4,1,2,28,3,1,1,1,savings,opted to pay,travel and vacations,certificate of deposit,married,real property,one-bedroom apartment,service and sales,no,0
24,1516,3,4,1,1,43,3,2,1,1,corporate,paid,investments for future,certificate of deposit,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
18,4380,3,3,1,4,35,3,1,2,2,savings,opted to pay,purchase a vehicle,individual retirement accounts,married,real property,one-bedroom apartment,skilled trades and technical,no,0
14,802,3,4,1,2,27,3,2,1,1,corporate,partly paid,purchase a vehicle,high-yield savings accounts,married,real property,one-bedroom apartment,skilled trades and technical,no,0
21,1572,5,4,1,4,36,1,1,1,1,corporate,opted to pay,student loan,certificate of deposit,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
48,3566,4,4,1,2,30,3,1,1,1,current,active,student loan,individual retirement accounts,married,real property,one-bedroom apartment,service and sales,no,0
24,1278,5,4,1,1,36,3,1,1,2,corporate,opted to pay,investments for future,high-yield savings accounts,married,human capital,one-bedroom apartment,professional and managerial,no,0
6,426,5,4,1,4,39,3,1,1,1,corporate,defaulted,investments for future,high-yield savings accounts,single,real property,one-bedroom apartment,skilled trades and technical,no,0
39,8588,5,4,1,2,45,3,1,1,2,corporate,opted to pay,weddings,individual retirement accounts,married,real property,one-bedroom apartment,professional and managerial,no,0
30,3857,3,4,1,4,40,3,1,1,2,savings,opted to pay,weddings,high-yield savings accounts,widowed,intellectual property,one-bedroom apartment,professional and managerial,no,0
12,685,4,2,1,3,25,1,1,1,1,current,opted to pay,purchase a vehicle,high-yield savings accounts,single,real property,one-bedroom apartment,skilled trades and technical,no,1
24,1603,5,4,1,4,55,3,1,1,1,savings,opted to pay,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
21,2241,5,4,1,2,50,3,2,1,1,corporate,opted to pay,travel and vacations,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
24,2384,5,4,1,4,64,1,1,1,1,savings,opted to pay,investments for future,high-yield savings accounts,married,human capital,two or multi-bedroom apartment,skilled trades and technical,no,0
4,601,2,1,1,3,23,3,1,2,1,corporate,opted to pay,travel and vacations,high-yield savings accounts,divorced,human capital,two or multi-bedroom apartment,skilled trades and technical,no,0
39,2569,3,4,1,4,24,3,1,1,1,corporate,opted to pay,weddings,money market accounts,married,real property,one-bedroom apartment,service and sales,no,0
15,1316,3,2,1,2,47,3,2,1,1,corporate,paid,investments for future,money market accounts,single,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
60,10366,5,2,1,4,42,3,1,1,2,corporate,opted to pay,purchase a vehicle,high-yield savings accounts,married,intellectual property,one-bedroom apartment,professional and managerial,no,0
18,1568,3,3,1,4,24,3,1,1,1,corporate,opted to pay,student loan,individual retirement accounts,divorced,intellectual property,two or multi-bedroom apartment,skilled trades and technical,no,0
18,629,5,4,1,3,32,1,2,1,2,corporate,paid,investments for future,money market accounts,married,intellectual property,one-bedroom apartment,professional and managerial,no,0
6,1750,5,2,1,4,45,1,1,2,1,corporate,active,investments for future,money market accounts,married,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
24,3488,4,3,1,4,23,3,1,1,1,corporate,opted to pay,weddings,individual retirement accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
18,1800,3,4,1,2,24,3,2,1,1,corporate,paid,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
24,4151,3,2,1,3,35,3,2,1,1,corporate,partly paid,travel and vacations,individual retirement accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
15,2631,3,3,1,2,25,3,1,1,1,current,opted to pay,consolidating debt,individual retirement accounts,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
21,5248,3,1,1,3,26,3,1,1,1,corporate,opted to pay,weddings,savings account,married,real property,one-bedroom apartment,service and sales,no,0
18,2899,5,4,1,4,43,3,1,2,1,current,partly paid,purchase a vehicle,savings account,married,real property,one-bedroom apartment,service and sales,no,0
18,6204,3,2,1,4,44,3,1,2,2,current,partly paid,consolidating debt,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
12,804,5,4,1,4,38,3,1,1,1,corporate,opted to pay,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
36,3595,5,4,1,2,28,3,1,1,1,corporate,opted to pay,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
36,5711,5,4,1,2,38,3,2,1,2,corporate,paid,weddings,certificate of deposit,married,real property,one-bedroom apartment,professional and managerial,no,0
15,2687,4,2,1,4,26,3,1,1,2,entrepreneur,opted to pay,student loan,high-yield savings accounts,married,intellectual property,two or multi-bedroom apartment,service and sales,no,0
15,3643,5,1,1,4,27,3,2,1,1,savings,partly paid,travel and vacations,high-yield savings accounts,divorced,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
10,2146,2,1,1,3,23,3,2,1,1,corporate,paid,travel and vacations,high-yield savings accounts,divorced,human capital,two or multi-bedroom apartment,service and sales,no,0
10,2315,5,3,1,4,52,3,1,1,1,savings,opted to pay,investments for future,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
5,3448,4,1,1,4,74,3,1,1,1,corporate,opted to pay,student loan,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
15,2708,2,2,1,3,27,1,2,1,1,corporate,opted to pay,travel and vacations,high-yield savings accounts,married,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
11,1393,2,4,1,4,35,3,2,1,1,corporate,paid,purchase a vehicle,high-yield savings accounts,divorced,real property,one-bedroom apartment,professional and managerial,no,0
10,1275,2,4,1,2,23,3,1,1,1,entrepreneur,opted to pay,travel and vacations,high-yield savings accounts,divorced,intellectual property,one-bedroom apartment,service and sales,no,0
9,1313,5,1,1,4,20,3,1,1,1,corporate,opted to pay,travel and vacations,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
12,1493,2,4,1,3,34,3,1,2,1,corporate,opted to pay,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
22,2675,5,3,1,4,40,3,1,1,1,corporate,opted to pay,investments for future,money market accounts,married,real property,one-bedroom apartment,service and sales,no,0
9,2118,3,2,1,2,37,3,1,2,1,current,opted to pay,investments for future,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
36,909,5,4,1,4,36,3,1,1,1,corporate,opted to pay,purchase a vehicle,money market accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
12,1258,2,2,1,4,22,3,2,1,1,corporate,paid,travel and vacations,high-yield savings accounts,divorced,intellectual property,two or multi-bedroom apartment,skilled trades and technical,no,0
15,1569,5,4,1,4,34,1,1,2,1,corporate,active,investments for future,individual retirement accounts,married,real property,one-bedroom apartment,skilled trades and technical,no,0
6,1236,3,2,1,4,50,3,1,1,1,corporate,opted to pay,weddings,money market accounts,married,intellectual property,two or multi-bedroom apartment,service and sales,no,0
36,7678,4,2,1,4,40,3,2,1,2,corporate,partly paid,travel and vacations,money market accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
6,660,4,2,1,4,23,3,1,1,1,corporate,opted to pay,consolidating debt,money market accounts,single,human capital,two or multi-bedroom apartment,skilled trades and technical,no,0
24,2835,5,3,1,4,53,3,1,1,1,corporate,opted to pay,travel and vacations,money market accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
24,2670,5,4,1,4,35,3,1,1,2,corporate,opted to pay,weddings,high-yield savings accounts,married,real property,one-bedroom apartment,professional and managerial,no,0
12,3447,3,4,1,3,35,3,1,2,1,corporate,active,starting or expanding a business,money market accounts,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
15,3568,5,4,1,2,54,1,1,1,2,corporate,opted to pay,investments for future,high-yield savings accounts,divorced,real property,two or multi-bedroom apartment,professional and managerial,no,0
21,3652,4,2,1,3,27,3,2,1,1,current,paid,student loan,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
24,3660,3,2,1,4,28,3,1,1,1,savings,opted to pay,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
9,1126,5,2,1,4,49,3,1,1,1,entrepreneur,opted to pay,investments for future,individual retirement accounts,widowed,human capital,one-bedroom apartment,service and sales,no,0
6,683,2,2,1,1,29,1,1,1,1,entrepreneur,partly paid,investments for future,high-yield savings accounts,divorced,intellectual property,one-bedroom apartment,service and sales,no,0
12,2251,3,1,1,2,46,3,1,1,1,entrepreneur,opted to pay,travel and vacations,high-yield savings accounts,divorced,real property,one-bedroom apartment,skilled trades and technical,no,0
12,4675,2,1,1,4,20,3,1,1,1,corporate,opted to pay,weddings,savings account,divorced,real property,two or multi-bedroom apartment,service and sales,no,0
21,2353,3,1,1,4,47,3,2,1,1,current,partly paid,purchase a vehicle,high-yield savings accounts,widowed,intellectual property,one-bedroom apartment,service and sales,no,0
21,3357,2,4,1,2,29,1,1,1,1,savings,opted to pay,investments for future,certificate of deposit,divorced,real property,one-bedroom apartment,service and sales,no,0
6,672,1,1,1,4,54,3,1,1,2,corporate,opted to pay,purchase a vehicle,high-yield savings accounts,divorced,human capital,one-bedroom apartment,manufacturing and production,no,0
6,338,5,4,1,4,52,3,2,1,1,savings,paid,investments for future,money market accounts,married,real property,one-bedroom apartment,service and sales,no,0
9,2697,3,1,1,2,32,3,1,2,1,corporate,opted to pay,investments for future,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,no,0
9,2507,5,2,1,4,51,3,1,1,1,corporate,opted to pay,purchase a vehicle,money market accounts,married,financial assets,studio apartment,skilled trades and technical,no,0
15,1478,3,4,1,3,33,1,2,1,1,corporate,partly paid,investments for future,high-yield savings accounts,single,human capital,one-bedroom apartment,service and sales,no,0
12,3565,2,2,1,1,37,3,2,2,1,corporate,paid,home repairs,savings account,married,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
15,2221,3,2,1,4,20,3,1,1,1,corporate,opted to pay,travel and vacations,money market accounts,divorced,real property,two or multi-bedroom apartment,service and sales,no,0
6,1898,3,1,1,2,34,3,2,2,1,corporate,paid,investments for future,savings account,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
6,1449,5,1,1,2,31,1,2,2,1,current,partly paid,student loan,individual retirement accounts,widowed,real property,one-bedroom apartment,service and sales,no,0
15,960,4,3,1,2,30,3,2,1,1,corporate,partly paid,travel and vacations,certificate of deposit,divorced,intellectual property,one-bedroom apartment,service and sales,no,0
36,8133,3,1,1,2,30,1,1,1,1,corporate,opted to pay,weddings,high-yield savings accounts,divorced,intellectual property,one-bedroom apartment,service and sales,no,0
9,2301,2,2,1,4,22,3,1,1,1,corporate,opted to pay,travel and vacations,individual retirement accounts,divorced,intellectual property,two or multi-bedroom apartment,service and sales,no,0
6,1743,3,1,1,2,34,3,2,1,1,corporate,partly paid,student loan,individual retirement accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
12,983,2,1,1,4,19,3,1,1,1,current,opted to pay,travel and vacations,certificate of deposit,divorced,human capital,two or multi-bedroom apartment,skilled trades and technical,no,0
18,2320,1,2,1,3,34,3,2,1,1,corporate,partly paid,investments for future,high-yield savings accounts,single,human capital,one-bedroom apartment,service and sales,no,0
12,339,5,4,1,1,45,1,1,1,1,savings,active,starting or expanding a business,high-yield savings accounts,single,real property,one-bedroom apartment,skilled trades and technical,no,0
24,5152,4,4,1,2,25,1,1,1,1,entrepreneur,opted to pay,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
24,3749,2,2,1,4,26,3,1,1,1,entrepreneur,opted to pay,travel and vacations,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
9,3074,3,1,1,2,33,3,2,2,1,corporate,paid,investments for future,savings account,married,human capital,one-bedroom apartment,service and sales,no,0
9,745,3,3,1,2,28,3,1,1,1,entrepreneur,opted to pay,investments for future,high-yield savings accounts,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,1
24,1469,5,4,1,4,41,3,1,1,1,corporate,opted to pay,purchase a vehicle,individual retirement accounts,single,human capital,two or multi-bedroom apartment,skilled trades and technical,no,0
6,1374,3,1,1,2,36,1,1,1,2,savings,opted to pay,travel and vacations,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
6,783,3,1,3,2,26,2,1,2,1,corporate,active,purchase a vehicle,savings account,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
21,2606,2,4,1,4,28,3,1,1,2,savings,opted to pay,investments for future,high-yield savings accounts,divorced,intellectual property,two or multi-bedroom apartment,professional and managerial,no,0
54,9436,3,2,1,2,39,3,1,2,1,corporate,defaulted,weddings,savings account,married,intellectual property,one-bedroom apartment,skilled trades and technical,no,0
12,930,5,4,1,4,65,3,4,1,1,corporate,paid,investments for future,savings account,married,human capital,one-bedroom apartment,service and sales,no,0
48,2751,5,4,1,3,38,3,2,2,2,corporate,paid,weddings,savings account,married,real property,one-bedroom apartment,service and sales,no,0
6,250,3,2,1,2,41,1,2,1,1,corporate,paid,purchase a vehicle,certificate of deposit,divorced,human capital,one-bedroom apartment,skilled trades and technical,no,0
24,1201,2,4,1,1,26,3,1,1,1,current,opted to pay,purchase a vehicle,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
6,662,2,3,1,4,41,3,1,2,2,savings,opted to pay,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
15,1300,5,4,1,4,45,1,1,2,1,corporate,opted to pay,weddings,savings account,married,financial assets,studio apartment,service and sales,no,0
24,1559,4,4,1,4,40,1,1,1,2,corporate,active,student loan,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
12,3016,3,3,1,1,24,3,1,1,1,entrepreneur,opted to pay,investments for future,high-yield savings accounts,single,real property,one-bedroom apartment,service and sales,no,0
15,1360,3,4,1,2,31,3,2,1,1,corporate,paid,investments for future,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
6,1204,3,4,1,1,35,1,1,1,1,corporate,defaulted,purchase a vehicle,individual retirement accounts,married,financial assets,two or multi-bedroom apartment,service and sales,yes,0
10,1597,3,3,1,2,40,3,1,2,1,corporate,opted to pay,purchase a vehicle,money market accounts,married,financial assets,two or multi-bedroom apartment,skilled trades and technical,yes,0
12,2073,3,4,2,2,28,3,1,1,1,corporate,opted to pay,investments for future,individual retirement accounts,divorced,human capital,one-bedroom apartment,service and sales,no,0
11,2142,5,1,1,2,28,3,1,1,2,corporate,opted to pay,student loan,certificate of deposit,widowed,human capital,one-bedroom apartment,service and sales,no,0
10,2132,2,2,2,3,27,3,2,1,1,savings,paid,travel and vacations,savings account,divorced,human capital,two or multi-bedroom apartment,service and sales,yes,0
10,1546,3,3,1,2,31,3,1,2,1,corporate,opted to pay,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,yes,0
24,1287,5,4,1,4,37,3,2,1,2,corporate,paid,purchase a vehicle,certificate of deposit,divorced,human capital,one-bedroom apartment,service and sales,no,0
10,1418,3,3,1,2,35,3,1,1,1,corporate,opted to pay,purchase a vehicle,individual retirement accounts,married,human capital,two or multi-bedroom apartment,skilled trades and technical,yes,0
6,1343,5,1,1,4,46,3,2,2,1,entrepreneur,paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,service and sales,yes,0
18,2662,4,4,1,3,32,3,1,1,1,corporate,opted to pay,purchase a vehicle,savings account,married,intellectual property,one-bedroom apartment,service and sales,yes,0
18,6070,5,3,1,4,33,3,2,1,2,corporate,paid,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
24,1927,3,3,1,2,33,3,2,1,2,corporate,paid,home repairs,savings account,divorced,real property,one-bedroom apartment,service and sales,no,0
18,2404,3,2,1,2,26,3,2,1,1,corporate,paid,investments for future,high-yield savings accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
6,1554,4,1,1,2,24,3,2,1,2,corporate,paid,investments for future,high-yield savings accounts,divorced,real property,two or multi-bedroom apartment,service and sales,no,0
22,1283,4,4,1,4,25,3,1,1,1,corporate,opted to pay,purchase a vehicle,savings account,divorced,intellectual property,two or multi-bedroom apartment,service and sales,no,0
24,717,5,4,1,4,54,3,2,1,2,corporate,partly paid,purchase a vehicle,savings account,single,real property,one-bedroom apartment,service and sales,no,0
24,1747,2,4,2,1,24,3,1,1,1,savings,opted to pay,travel and vacations,high-yield savings accounts,married,intellectual property,one-bedroom apartment,skilled trades and technical,yes,0
9,1288,5,3,3,4,48,3,2,2,1,savings,paid,consolidating debt,individual retirement accounts,married,human capital,one-bedroom apartment,service and sales,yes,0
10,1038,4,4,2,3,49,3,2,1,2,savings,paid,purchase a vehicle,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
10,2848,3,1,2,2,32,3,1,2,1,corporate,opted to pay,weddings,individual retirement accounts,married,human capital,one-bedroom apartment,service and sales,no,0
12,1413,4,3,1,2,55,3,1,1,1,corporate,opted to pay,weddings,certificate of deposit,married,intellectual property,one-bedroom apartment,service and sales,yes,0
30,3077,5,3,1,2,40,3,2,2,2,corporate,paid,investments for future,savings account,married,real property,one-bedroom apartment,service and sales,no,0
24,3632,3,1,3,4,22,1,1,1,1,savings,active,weddings,high-yield savings accounts,divorced,real property,two or multi-bedroom apartment,service and sales,yes,0
18,3229,1,2,1,4,38,3,1,1,2,corporate,paid,weddings,savings account,married,financial assets,one-bedroom apartment,professional and managerial,no,0
9,3577,3,1,3,2,26,3,1,2,1,corporate,opted to pay,purchase a vehicle,individual retirement accounts,married,human capital,two or multi-bedroom apartment,service and sales,yes,0
12,682,4,4,1,3,51,3,2,1,2,corporate,paid,purchase a vehicle,individual retirement accounts,divorced,real property,one-bedroom apartment,service and sales,no,0
10,1924,3,1,1,4,38,3,1,1,2,corporate,opted to pay,investments for future,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,yes,0
10,727,5,4,1,4,46,3,1,1,2,corporate,opted to pay,home repairs,money market accounts,married,financial assets,studio apartment,service and sales,no,0
10,781,5,4,1,4,63,3,2,1,2,entrepreneur,paid,purchase a vehicle,high-yield savings accounts,married,financial assets,studio apartment,service and sales,no,0
12,2121,3,4,1,2,30,3,2,1,1,savings,paid,purchase a vehicle,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
12,701,3,4,1,2,32,3,2,1,1,corporate,paid,home repairs,high-yield savings accounts,married,real property,one-bedroom apartment,service and sales,no,0
10,2069,3,2,1,1,26,3,2,1,1,corporate,paid,travel and vacations,savings account,single,real property,one-bedroom apartment,service and sales,yes,0
24,1525,4,4,1,3,34,3,1,2,2,corporate,opted to pay,purchase a vehicle,certificate of deposit,divorced,real property,one-bedroom apartment,service and sales,no,0
48,7629,5,4,1,2,46,1,2,2,1,corporate,paid,student loan,savings account,widowed,real property,one-bedroom apartment,professional and managerial,no,0
12,3499,3,3,2,2,29,3,2,1,1,savings,paid,purchase a vehicle,high-yield savings accounts,divorced,human capital,one-bedroom apartment,service and sales,no,1
6,1346,5,2,1,4,42,1,1,2,2,corporate,opted to pay,investments for future,individual retirement accounts,married,financial assets,studio apartment,service and sales,no,0
36,10477,5,2,1,4,42,3,2,1,1,corporate,paid,weddings,savings account,married,financial assets,studio apartment,service and sales,no,0
24,2924,3,3,3,4,63,1,1,2,2,savings,opted to pay,weddings,high-yield savings accounts,married,financial assets,one-bedroom apartment,service and sales,no,0
10,1231,5,3,1,4,32,3,2,2,1,corporate,paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,yes,0
18,1961,5,3,1,2,23,3,1,1,1,entrepreneur,opted to pay,purchase a vehicle,high-yield savings accounts,divorced,real property,one-bedroom apartment,professional and managerial,no,0
15,5045,5,1,1,4,59,3,1,1,2,corporate,paid,purchase a vehicle,savings account,divorced,real property,one-bedroom apartment,service and sales,no,0
12,1255,5,4,1,4,61,3,2,1,1,corporate,paid,purchase a vehicle,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
12,1858,2,4,1,1,22,3,1,1,1,savings,opted to pay,travel and vacations,high-yield savings accounts,divorced,real property,two or multi-bedroom apartment,service and sales,no,0
6,1221,3,1,1,2,27,3,2,1,1,corporate,paid,travel and vacations,savings account,single,intellectual property,one-bedroom apartment,service and sales,no,0
9,1388,3,4,1,2,26,3,1,1,1,corporate,opted to pay,travel and vacations,high-yield savings accounts,divorced,human capital,two or multi-bedroom apartment,service and sales,no,0
12,2279,3,4,1,4,37,3,1,1,2,corporate,opted to pay,investments for future,savings account,married,financial assets,studio apartment,service and sales,no,0
12,2759,5,2,1,4,34,3,2,1,1,corporate,defaulted,travel and vacations,high-yield savings accounts,married,intellectual property,one-bedroom apartment,service and sales,no,0
24,1258,3,3,1,3,57,3,1,1,1,entrepreneur,opted to pay,investments for future,money market accounts,divorced,real property,one-bedroom apartment,skilled trades and technical,no,0
12,1410,3,2,1,2,31,3,1,1,2,current,defaulted,starting or expanding a business,high-yield savings accounts,married,human capital,one-bedroom apartment,skilled trades and technical,no,0
15,1403,3,2,1,4,28,3,1,1,1,savings,opted to pay,purchase a vehicle,high-yield savings accounts,divorced,real property,two or multi-bedroom apartment,service and sales,no,0
24,3021,3,2,1,2,24,3,1,1,1,savings,opted to pay,travel and vacations,high-yield savings accounts,widowed,human capital,two or multi-bedroom apartment,skilled trades and technical,no,0
24,6568,3,2,1,2,21,2,1,1,1,savings,opted to pay,student loan,high-yield savings accounts,single,real property,one-bedroom apartment,skilled trades and technical,no,0
24,2578,5,2,1,2,34,3,1,1,1,corporate,paid,investments for future,certificate of deposit,married,real property,one-bedroom apartment,service and sales,no,0
24,7758,5,2,1,4,29,3,1,1,1,current,paid,weddings,certificate of deposit,divorced,financial assets,two or multi-bedroom apartment,service and sales,no,0
6,343,2,4,1,1,27,3,1,1,1,savings,opted to pay,emergency medical bills,high-yield savings accounts,divorced,human capital,one-bedroom apartment,service and sales,no,0
21,1591,4,4,1,3,34,3,2,1,1,corporate,partly paid,travel and vacations,individual retirement accounts,married,human capital,one-bedroom apartment,professional and managerial,no,0
27,3416,3,3,1,2,27,3,1,1,1,savings,opted to pay,investments for future,high-yield savings accounts,married,real property,one-bedroom apartment,professional and managerial,no,0
